Region,Sub Region,Operation
Africa,Central Africa and the Great Lakes,Burundi
Africa,Central Africa and the Great Lakes,Cameroon
Africa,Central Africa and the Great Lakes,CAR
Africa,Central Africa and the Great Lakes,Congo (Republic of)
Africa,Central Africa and the Great Lakes,DRC
Africa,Central Africa and the Great Lakes,Rwanda
Africa,Central Africa and the Great Lakes,Tanzania (United Republic of)
Africa,East & Horn of Africa,Chad
Africa,East & Horn of Africa,Djibouti
Africa,East & Horn of Africa,Eritrea
Africa,East & Horn of Africa,Ethiopia
Africa,East & Horn of Africa,Kenya
Africa,East & Horn of Africa,Somalia
Africa,East & Horn of Africa,South Sudan
Africa,East & Horn of Africa,Sudan
Africa,East & Horn of Africa,Uganda
Africa,Southern Africa,Angola
Africa,Southern Africa,Botswana
Africa,Southern Africa,Malawi
Africa,Southern Africa,Mozambique
Africa,Southern Africa,South Africa
Africa,Southern Africa,Zambia
Africa,Southern Africa,Zimbabwe
Africa,West Africa,Benin
Africa,West Africa,Burkina Faso
Africa,West Africa,Cote d'Ivoire
Africa,West Africa,Ghana
Africa,West Africa,Guinea
Africa,West Africa,Guinea-Bissau
Africa,West Africa,Liberia
Africa,West Africa,Mali
Africa,West Africa,Niger
Africa,West Africa,Nigeria
Africa,West Africa,Senegal
Africa,West Africa,Sierra Leone
Africa,West Africa,Togo
Americas,Latin America,Argentina
Americas,Latin America,Belize
Americas,Latin America,Brazil
Americas,Latin America,Colombia
Americas,Latin America,Costa Rica
Americas,Latin America,Ecuador
Americas,Latin America,Guatemala
Americas,Latin America,Honduras
Americas,Latin America,Mexico
Americas,Latin America,Panama
Americas,Latin America,Venezuela
Americas,North America and the Caribbean,Canada
Asia and the Pacific,Central Asia,Kazakstan
Asia and the Pacific,Central Asia,Kyrgyzstan
Asia and the Pacific,Central Asia,Tajikistan
Asia and the Pacific,Central Asia,Turkmenistan
Asia and the Pacific,East Asia and the Pacific,Australia
Asia and the Pacific,East Asia and the Pacific,China
Asia and the Pacific,East Asia and the Pacific,Japan
Asia and the Pacific,East Asia and the Pacific,Korea (Republic of)
Asia and the Pacific,South Asia,India
Asia and the Pacific,South Asia,Nepal
Asia and the Pacific,South Asia,Sri Lanka
Asia and the Pacific,South East Asia,Bangladesh
Asia and the Pacific,South East Asia,Indonesia
Asia and the Pacific,South East Asia,Malaysia
Asia and the Pacific,South East Asia,Myanmar
Asia and the Pacific,South East Asia,Philippines
Asia and the Pacific,South East Asia,Thailand
Asia and the Pacific,South West Asia,Afghanistan
Asia and the Pacific,South West Asia,Pakistan
Europe,Eastern Europe,Azerbaijan
Europe,Eastern Europe,Belarus
Europe,Eastern Europe,Turkey
Europe,Eastern Europe,Ukraine
Europe,"Northern, Western, Central and Southern Europe",Bulgaria
Europe,"Northern, Western, Central and Southern Europe",Croatia
Europe,"Northern, Western, Central and Southern Europe",Cyprus
Europe,"Northern, Western, Central and Southern Europe",Georgia
Europe,"Northern, Western, Central and Southern Europe",Greece
Europe,"Northern, Western, Central and Southern Europe",Italy
Europe,"Northern, Western, Central and Southern Europe",Kosovo
Europe,"Northern, Western, Central and Southern Europe",Macedonia (FYR)
Europe,"Northern, Western, Central and Southern Europe",Malta
Europe,"Northern, Western, Central and Southern Europe",Serbia
Europe,"Northern, Western, Central and Southern Europe",Spain
Europe,"Northern, Western, Central and Southern Europe",Sweden
Europe,South-Eastern Europe,Bosnia and Herzegovina
Europe,"Northern, Western, Central and Southern Europe",Belgium
Europe,"Northern, Western, Central and Southern Europe",Hungary
Europe,"Northern, Western, Central and Southern Europe",Switzerland
Europe,"Northern, Western, Central and Southern Europe",Denmark
Middle East and North Africa,Middle East and North Africa,Algeria
Middle East and North Africa,Middle East and North Africa,Egypt
Middle East and North Africa,Middle East and North Africa,Iran
Middle East and North Africa,Middle East and North Africa,Iraq
Middle East and North Africa,Middle East and North Africa,Israel
Middle East and North Africa,Middle East and North Africa,Jordan
Middle East and North Africa,Middle East and North Africa,Lebanon
Middle East and North Africa,Middle East and North Africa,Saudi Arabia
Middle East and North Africa,Middle East and North Africa,Syrian Arab Republic
Middle East and North Africa,Middle East and North Africa,United Arab Emirates (UAE)
Middle East and North Africa,Middle East and North Africa,Yemen
Middle East and North Africa,Middle East and North Africa,Libya
Middle East and North Africa,Middle East and North Africa,Mauritania
Middle East and North Africa,Middle East and North Africa,Morocco
Headquarters,Regional Bureau for Europe,
Headquarters,DESS,
Headquarters,DIP,
Headquarters,DPSM,FICSS
Headquarters,Regional Bureau for Asia and the Pacific,
Headquarters,Regional Bureau for the Middle East and North Africa,
Headquarters,Regional Bureau for the Americas,